Approved symbol	Approved name	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
ZC3H13	zinc finger CCCH-type containing 13	NM_015070	23091
ARHGAP26	Rho GTPase activating protein 26	NM_015071	23092
TTLL5	tubulin tyrosine ligase like 5	NM_015072	23093
SIPA1L3	signal induced proliferation associated 1 like 3	NM_015073	23094
KIF1B	kinesin family member 1B		23095
IQSEC2	IQ motif and Sec7 domain ArfGEF 2	NM_001111125	23096
CDK19	cyclin dependent kinase 19	NM_015076	23097
SARM1	sterile alpha and TIR motif containing 1	NM_015077	23098
ZBTB43	zinc finger and BTB domain containing 43	NM_001135776	23099
MCF2L2	MCF.2 cell line derived transforming sequence-like 2	NM_015078	23101
TBC1D2B	TBC1 domain family member 2B	NM_015079	23102
FSTL4	follistatin like 4	NM_015082	23105
MRPS27	mitochondrial ribosomal protein S27	NM_015084	23107
RAP1GAP2	RAP1 GTPase activating protein 2		23108
DDN	dendrin		23109
SPART	spartin		23111
TNRC6B	trinucleotide repeat containing adaptor 6B		23112
CUL9	cullin 9	NM_015089	23113
NFASC	neurofascin	NM_001005388	23114
TOGARAM1	TOG array regulator of axonemal microtubules 1	NM_001308120	23116
NPIPB3	nuclear pore complex interacting protein family member B3	NM_130464	23117
TAB2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2		23118
HIC2	HIC ZBTB transcriptional repressor 2		23119
ATP10B	ATPase phospholipid transporting 10B (putative)	NM_025153	23120
CLASP2	cytoplasmic linker associated protein 2	NM_001207044	23122
CAMTA2	calmodulin binding transcription activator 2	NM_015099	23125
POGZ	pogo transposable element derived with ZNF domain	NM_207171	23126
COLGALT2	collagen beta(1-O)galactosyltransferase 2	NM_015101	23127
PLXND1	plexin D1	NM_015103	23129
ATG2A	autophagy related 2A	NM_015104	23130
GPATCH8	G-patch domain containing 8	NM_001002909	23131
RAD54L2	RAD54 like 2	NM_015106	23132
PHF8	PHD finger protein 8	NM_015107	23133
KDM6B	lysine demethylase 6B	NM_001080424	23135
EPB41L3	erythrocyte membrane protein band 4.1 like 3	NM_012307	23136
SMC5	structural maintenance of chromosomes 5	NM_015110	23137
N4BP3	NEDD4 binding protein 3	NM_015111	23138
MAST2	microtubule associated serine/threonine kinase 2	NM_015112	23139
ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1	NM_015113	23140
ANKLE2	ankyrin repeat and LEM domain containing 2		23141
DCUN1D4	defective in cullin neddylation 1 domain containing 4	NM_015115	23142
LRCH1	leucine rich repeats and calponin homology domain containing 1	NM_015116	23143
ZC3H3	zinc finger CCCH-type containing 3	NM_015117	23144
SSPOP	SCO-spondin, pseudogene	NR_163594	23145
NACAD	NAC alpha domain containing	NM_001146334	23148
FCHO1	FCH and mu domain containing endocytic adaptor 1	NM_015122	23149
FRMD4B	FERM domain containing 4B		23150
GRAMD4	GRAM domain containing 4	NM_015124	23151
CIC	capicua transcriptional repressor		23152
NCDN	neurochondrin	NM_014284	23154
CLCC1	chloride channel CLIC like 1	NM_015127	23155
SEPTIN6	septin 6	NM_145802	23157
TBC1D9	TBC1 domain family member 9	NM_015130	23158
WDR43	WD repeat domain 43	NM_015131	23160
SNX13	sorting nexin 13	NM_015132	23161
MAPK8IP3	mitogen-activated protein kinase 8 interacting protein 3	NM_001040439	23162
GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	NM_138619	23163
MPRIP	myosin phosphatase Rho interacting protein	NM_015134	23164
NUP205	nucleoporin 205		23165
STAB1	stabilin 1	NM_015136	23166
EFR3A	EFR3 homolog A	NM_015137	23167
RTF1	RTF1 homolog, Paf1/RNA polymerase II complex component	NM_015138	23168
SLC35D1	solute carrier family 35 member D1	NM_015139	23169
TTLL12	tubulin tyrosine ligase like 12	NM_015140	23170
GPD1L	glycerol-3-phosphate dehydrogenase 1 like	NM_015141	23171
ABRAXAS2	abraxas 2, BRISC complex subunit	NM_032182	23172
METAP1	methionyl aminopeptidase 1	NM_015143	23173
ZCCHC14	zinc finger CCHC-type containing 14	NM_015144	23174
LPIN1	lipin 1	NM_145693	23175
SEPTIN8	septin 8	NM_001098811	23176
CEP68	centrosomal protein 68	NM_015147	23177
PASK	PAS domain containing serine/threonine kinase	NM_015148	23178
RGL1	ral guanine nucleotide dissociation stimulator like 1	NM_015149	23179
RFTN1	raftlin, lipid raft linker 1	NM_015150	23180
DIP2A	disco interacting protein 2 homolog A	NM_015151	23181
MESD	mesoderm development LRP chaperone	NM_015154	23184
LARP4B	La ribonucleoprotein 4B	NM_015155	23185
RCOR1	REST corepressor 1	NM_015156	23186
PHLDB1	pleckstrin homology like domain family B member 1	NM_015157	23187
KANK1	KN motif and ankyrin repeat domains 1	NM_015158	23189
UBXN4	UBX domain protein 4	NM_014607	23190
CYFIP1	cytoplasmic FMR1 interacting protein 1	NM_014608	23191
ATG4B	autophagy related 4B cysteine peptidase	NM_013325	23192
GANAB	glucosidase II alpha subunit	NM_198334	23193
FBXL7	F-box and leucine rich repeat protein 7	NM_012304	23194
MDN1	midasin AAA ATPase 1		23195
FAM120A	family with sequence similarity 120A	NM_014612	23196
FAF2	Fas associated factor family member 2	NM_014613	23197
PSME4	proteasome activator subunit 4	NM_014614	23198
GSE1	Gse1 coiled-coil protein	NM_014615	23199
ATP11B	ATPase phospholipid transporting 11B (putative)	NM_014616	23200
FAM168A	family with sequence similarity 168 member A	NM_015159	23201
PMPCA	peptidase, mitochondrial processing subunit alpha	NM_015160	23203
ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1	NM_015161	23204
ACSBG1	acyl-CoA synthetase bubblegum family member 1	NM_015162	23205
PLEKHM2	pleckstrin homology and RUN domain containing M2	NM_015164	23207
SYT11	synaptotagmin 11	NM_152280	23208
MLC1	modulator of VRAC current 1	NM_015166	23209
JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase	NM_015167	23210
ZC3H4	zinc finger CCCH-type containing 4		23211
RRS1	ribosome biogenesis regulator 1 homolog	NM_015169	23212
SULF1	sulfatase 1	NM_015170	23213
XPO6	exportin 6	NM_001270940	23214
PRRC2C	proline rich coiled-coil 2C	NM_015172	23215
TBC1D1	TBC1 domain family member 1	NM_015173	23216
ZFR2	zinc finger RNA binding protein 2	NM_015174	23217
NBEAL2	neurobeachin like 2	NM_015175	23218
FBXO28	F-box protein 28	NM_015176	23219
DTX4	deltex E3 ubiquitin ligase 4	NM_015177	23220
RHOBTB2	Rho related BTB domain containing 2		23221
RRP12	ribosomal RNA processing 12 homolog	NM_015179	23223
SYNE2	spectrin repeat containing nuclear envelope protein 2	NM_182914	23224
NUP210	nucleoporin 210	NM_024923	23225
PLCL2	phospholipase C like 2		23228
ARHGEF9	Cdc42 guanine nucleotide exchange factor 9		23229
VPS13A	vacuolar protein sorting 13 homolog A	NM_015186	23230
SEL1L3	SEL1L family member 3	NM_015187	23231
TBC1D12	TBC1 domain family member 12		23232
EXOC6B	exocyst complex component 6B	NM_001321729	23233
DNAJC9	DnaJ heat shock protein family (Hsp40) member C9	NM_015190	23234
SIK2	salt inducible kinase 2	NM_015191	23235
PLCB1	phospholipase C beta 1		23236
ARC	activity regulated cytoskeleton associated protein		23237
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	NM_194449	23239
TMEM131L	transmembrane 131 like	NM_015196	23240
PACS2	phosphofurin acidic cluster sorting protein 2	NM_001100913	23241
COBL	cordon-bleu WH2 repeat protein	NM_015198	23242
ANKRD28	ankyrin repeat domain 28	NM_015199	23243
PDS5A	PDS5 cohesin associated factor A	NM_015200	23244
ASTN2	astrotactin 2	NM_014010	23245
BOP1	BOP1 ribosomal biogenesis factor	NM_015201	23246
KATNIP	katanin interacting protein	NM_015202	23247
RPRD2	regulation of nuclear pre-mRNA domain containing 2	NM_015203	23248
ATP11A	ATPase phospholipid transporting 11A	NM_015205	23250
MINAR1	membrane integral NOTCH2 associated receptor 1	NM_015206	23251
OTUD3	OTU deubiquitinase 3		23252
ANKRD12	ankyrin repeat domain 12	NM_015208	23253
KAZN	kazrin, periplakin interacting protein	NM_001017999	23254
MTCL1	microtubule crosslinking factor 1	NM_015210	23255
SCFD1	sec1 family domain containing 1	NM_182835	23256
DENND5A	DENN domain containing 5A	NM_015213	23258
DDHD2	DDHD domain containing 2	NM_015214	23259
CAMTA1	calmodulin binding transcription activator 1	NM_015215	23261
PPIP5K2	diphosphoinositol pentakisphosphate kinase 2	NM_015216	23262
MCF2L	MCF.2 cell line derived transforming sequence like		23263
ZC3H7B	zinc finger CCCH-type containing 7B	NM_017590	23264
EXOC7	exocyst complex component 7	NM_015219	23265
ADGRL2	adhesion G protein-coupled receptor L2	NM_012302	23266
DNMBP	dynamin binding protein	NM_015221	23268
MGA	MAX dimerization protein MGA	NM_001164273.1	23269
TSPYL4	TSPY like 4		23270
CAMSAP2	calmodulin regulated spectrin associated protein family member 2	NM_203459	23271
TASOR	transcription activation suppressor	NM_015224	23272
CLEC16A	C-type lectin domain containing 16A	NM_015226	23274
POFUT2	protein O-fucosyltransferase 2	NM_015227	23275
KLHL18	kelch like family member 18	NM_025010	23276
CLUH	clustered mitochondria homolog	NM_015229	23277
NUP160	nucleoporin 160	NM_015231	23279
MTUS2	microtubule associated scaffold protein 2	NM_001033602	23281
CSTF2T	cleavage stimulation factor subunit 2 tau variant	NM_015235	23283
ADGRL3	adhesion G protein-coupled receptor L3		23284
WWC1	WW and C2 domain containing 1	NM_015238	23286
AGTPBP1	ATP/GTP binding carboxypeptidase 1	NM_015239	23287
IQCE	IQ motif containing E	NM_152558	23288
FBXW11	F-box and WD repeat domain containing 11	NM_012300	23291
SMG6	SMG6 nonsense mediated mRNA decay factor		23293
ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A	NM_015245	23294
MGRN1	mahogunin ring finger 1		23295
BICD2	BICD cargo adaptor 2	NM_015250	23299
ATMIN	ATM interactor	NM_015251	23300
EHBP1	EH domain binding protein 1	NM_015252	23301
WSCD1	WSC domain containing 1	NM_015253	23302
KIF13B	kinesin family member 13B		23303
UBR2	ubiquitin protein ligase E3 component n-recognin 2	NM_015255	23304
ACSL6	acyl-CoA synthetase long chain family member 6	NM_015256	23305
NEMP1	nuclear envelope integral membrane protein 1	NM_015257	23306
FKBP15	FKBP prolyl isomerase family member 15	NM_015258	23307
ICOSLG	inducible T cell costimulator ligand	NM_015259	23308
SIN3B	SIN3 transcription regulator family member B	NM_015260	23309
NCAPD3	non-SMC condensin II complex subunit D3	NM_015261	23310
DMXL2	Dmx like 2	NM_015263	23312
KIAA0930	KIAA0930	NM_001009880	23313
SATB2	SATB homeobox 2	NM_015265	23314
SLC9A8	solute carrier family 9 member A8	NM_001260491	23315
CUX2	cut like homeobox 2	NM_015267	23316
DNAJC13	DnaJ heat shock protein family (Hsp40) member C13	NM_015268	23317
TUT4	terminal uridylyl transferase 4	NM_001009881	23318
TRIM2	tripartite motif containing 2		23321
RPGRIP1L	RPGRIP1 like	NM_015272	23322
MAN2B2	mannosidase alpha class 2B member 2	NM_015274	23324
WASHC4	WASH complex subunit 4	NM_015275	23325
USP22	ubiquitin specific peptidase 22		23326
NEDD4L	NEDD4 like E3 ubiquitin protein ligase		23327
SASH1	SAM and SH3 domain containing 1	NM_015278	23328
TBC1D30	TBC1 domain family member 30	NM_015279	23329
TTC28	tetratricopeptide repeat domain 28	NM_001145418	23331
CLASP1	cytoplasmic linker associated protein 1	NM_015282	23332
DPY19L1	dpy-19 like C-mannosyltransferase 1		23333
SZT2	SZT2 subunit of KICSTOR complex	NM_015284	23334
WDR7	WD repeat domain 7		23335
SYNM	synemin	NM_145728	23336
JADE2	jade family PHD finger 2	NM_015288	23338
VPS39	VPS39 subunit of HOPS complex	NM_015289	23339
DNAJC16	DnaJ heat shock protein family (Hsp40) member C16	NM_015291	23341
ESYT1	extended synaptotagmin 1	NM_015292	23344
SYNE1	spectrin repeat containing nuclear envelope protein 1	NM_182961	23345
SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1		23347
DOCK9	dedicator of cytokinesis 9	NM_015296	23348
PHF24	PHD finger protein 24	NM_001304333	23349
U2SURP	U2 snRNP associated SURP domain containing	NM_001080415	23350
KHNYN	KH and NYN domain containing		23351
UBR4	ubiquitin protein ligase E3 component n-recognin 4	NM_020765	23352
SUN1	Sad1 and UNC84 domain containing 1	NM_025154	23353
HAUS5	HAUS augmin like complex subunit 5		23354
VPS8	VPS8 subunit of CORVET complex	NM_015303	23355
ANGEL1	angel homolog 1	NM_015305	23357
USP24	ubiquitin specific peptidase 24		23358
ENTREP2	endosomal transmembrane epsin interactor 2	NM_015307	23359
FNBP4	formin binding protein 4		23360
ZNF629	zinc finger protein 629	NM_015309	23361
PSD3	pleckstrin and Sec7 domain containing 3	NM_015310	23362
OBSL1	obscurin like cytoskeletal adaptor 1		23363
ARHGEF12	Rho guanine nucleotide exchange factor 12	NM_015313	23365
MATCAP2	microtubule associated tyrosine carboxypeptidase 2	NM_015314	23366
LARP1	La ribonucleoprotein 1, translational regulator	NM_033551	23367
PPP1R13B	protein phosphatase 1 regulatory subunit 13B	NM_015316	23368
PUM2	pumilio RNA binding family member 2	NM_015317	23369
ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	NM_015318	23370
TNS2	tensin 2	NM_170754	23371
CRTC1	CREB regulated transcription coactivator 1	NM_025021	23373
UFL1	UFM1 specific ligase 1	NM_015323	23376
RRP8	ribosomal RNA processing 8	NM_015324	23378
ICE1	interactor of little elongation complex ELL subunit 1	NM_015325.1	23379
SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	NM_015326	23380
SMG5	SMG5 nonsense mediated mRNA decay factor	NM_015327	23381
AHCYL2	adenosylhomocysteinase like 2		23382
MAU2	MAU2 sister chromatid cohesion factor	NM_015329	23383
SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like	NM_015330	23384
NCSTN	nicastrin	NM_015331	23385
NUDCD3	NudC domain containing 3	NM_015332	23386
SIK3	SIK family kinase 3	NM_025164	23387
MED13L	mediator complex subunit 13L		23389
ZDHHC17	zinc finger DHHC-type palmitoyltransferase 17	NM_015336	23390
ECPAS	Ecm29 proteasome adaptor and scaffold	NM_001080398	23392
ADNP	activity dependent neuroprotector homeobox	NM_181442	23394
LARS2	leucyl-tRNA synthetase 2, mitochondrial	NM_015340	23395
PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	NM_012398	23396
NCAPH	non-SMC condensin I complex subunit H	NM_015341	23397
PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1	NM_015342	23398
CTDNEP1	CTD nuclear envelope phosphatase 1	NM_015343	23399
ATP13A2	ATPase cation transporting 13A2	NM_022089	23400
FRAT2	FRAT regulator of WNT signaling pathway 2	NM_012083	23401
FBXO46	F-box protein 46	NM_001329632	23403
EXOSC2	exosome component 2	NM_014285	23404
DICER1	dicer 1, ribonuclease III	NM_030621	23405
COTL1	coactosin like F-actin binding protein 1	NM_021149	23406
SIRT5	sirtuin 5		23408
SIRT4	sirtuin 4	NM_012240	23409
SIRT3	sirtuin 3		23410
SIRT1	sirtuin 1	NM_012238	23411
COMMD3	COMM domain containing 3	NM_012071	23412
NCS1	neuronal calcium sensor 1	NM_014286	23413
ZFPM2	zinc finger protein, FOG family member 2		23414
KCNH4	potassium voltage-gated channel subfamily H member 4	NM_012285	23415
KCNH3	potassium voltage-gated channel subfamily H member 3	NM_012284	23416
MLYCD	malonyl-CoA decarboxylase	NM_012213	23417
CRB1	crumbs cell polarity complex component 1	NM_201253	23418
NOMO1	NODAL modulator 1		23420
ITGB3BP	integrin subunit beta 3 binding protein	NM_014288	23421
TMED3	transmembrane p24 trafficking protein 3	NM_007364	23423
TDRD7	tudor domain containing 7	NM_014290	23424
GRIP1	glutamate receptor interacting protein 1		23426
SLC7A8	solute carrier family 7 member 8		23428
RYBP	RING1 and YY1 binding protein	NM_012234	23429
TPSD1	tryptase delta 1		23430
AP4E1	adaptor related protein complex 4 subunit epsilon 1		23431
GPR161	G protein-coupled receptor 161	NM_007369	23432
RHOQ	ras homolog family member Q	NM_012249	23433
LINC01565	long intergenic non-protein coding RNA 1565		23434
TARDBP	TAR DNA binding protein	NM_007375	23435
CELA3B	chymotrypsin like elastase 3B	NM_007352	23436
TRS-AGA2-3	tRNA-Ser (anticodon AGA) 2-3		23437
HARS2	histidyl-tRNA synthetase 2, mitochondrial	NM_012208	23438
ATP1B4	ATPase Na+/K+ transporting family member beta 4	NM_001142447	23439
OTP	orthopedia homeobox		23440
SLC35A3	solute carrier family 35 member A3	NM_012243	23443
SLC44A1	solute carrier family 44 member 1	NM_080546	23446
SF3B3	splicing factor 3b subunit 3	NM_012426	23450
SF3B1	splicing factor 3b subunit 1		23451
ANGPTL2	angiopoietin like 2	NM_012098	23452
ABCB10	ATP binding cassette subfamily B member 10	NM_012089	23456
ABCB9	ATP binding cassette subfamily B member 9	NM_019624	23457
ABCA6	ATP binding cassette subfamily A member 6	NM_080284	23460
ABCA5	ATP binding cassette subfamily A member 5	NM_018672	23461
HEY1	hes related family bHLH transcription factor with YRPW motif 1	NM_012258	23462
ICMT	isoprenylcysteine carboxyl methyltransferase	NM_012405	23463
GCAT	glycine C-acetyltransferase	NM_014291.2	23464
CBX6	chromobox 6	NM_014292	23466
NPTXR	neuronal pentraxin receptor	NM_014293	23467
CBX5	chromobox 5	NM_012117	23468
PHF3	PHD finger protein 3		23469
TRAM1	translocation associated membrane protein 1	NM_014294	23471
CAPN7	calpain 7	NM_014296	23473
ETHE1	ETHE1 persulfide dioxygenase	NM_014297	23474
QPRT	quinolinate phosphoribosyltransferase	NM_014298	23475
BRD4	bromodomain containing 4	NM_058243	23476
SEC11A	SEC11 homolog A, signal peptidase complex subunit	NM_014300	23478
ISCU	iron-sulfur cluster assembly enzyme	NM_014301	23479
SEC61G	SEC61 translocon subunit gamma	NM_014302	23480
PES1	pescadillo ribosomal biogenesis factor 1	NM_014303	23481
TGDS	TDP-glucose 4,6-dehydratase	NM_014305	23483
LEPROTL1	leptin receptor overlapping transcript like 1		23484
CES3	carboxylesterase 3	NM_024922	23491
CBX7	chromobox 7	NM_175709	23492
HEY2	hes related family bHLH transcription factor with YRPW motif 2		23493
TNFRSF13B	TNF receptor superfamily member 13B		23495
HAAO	3-hydroxyanthranilate 3,4-dioxygenase		23498
MACF1	microtubule actin crosslinking factor 1	NM_033044	23499
DAAM2	dishevelled associated activator of morphogenesis 2		23500
ZFYVE26	zinc finger FYVE-type containing 26	NM_015346	23503
RIMBP2	RIMS binding protein 2	NM_015347	23504
TMEM131	transmembrane protein 131	NM_015348	23505
BICRAL	BICRA like chromatin remodeling complex associated protein	NM_015349	23506
LRRC8B	leucine rich repeat containing 8 VRAC subunit B	NM_015350	23507
TTC9	tetratricopeptide repeat domain 9	NM_015351	23508
POFUT1	protein O-fucosyltransferase 1	NM_015352	23509
KCTD2	potassium channel tetramerization domain containing 2		23510
NUP188	nucleoporin 188		23511
SUZ12	SUZ12 polycomb repressive complex 2 subunit	NM_015355	23512
SCRIB	scribble planar cell polarity protein	NM_015356	23513
SPIDR	scaffold protein involved in DNA repair	NM_001080394	23514
MORC3	MORC family CW-type zinc finger 3	NM_015358	23515
SLC39A14	solute carrier family 39 member 14	NM_001128431	23516
MTREX	Mtr4 exosome RNA helicase	NM_015360	23517
R3HDM1	R3H domain containing 1	NM_015361	23518
ANP32D	acidic nuclear phosphoprotein 32 family member D	NM_012404	23519
ANP32CP	acidic nuclear phosphoprotein 32 family member C, pseudogene	NG_074974.	23520
RPL13A	ribosomal protein L13a		23521
KAT6B	lysine acetyltransferase 6B	NM_012330	23522
CABIN1	calcineurin binding protein 1	NM_012295	23523
SRRM2	serine/arginine repetitive matrix 2		23524
ARHGAP45	Rho GTPase activating protein 45		23526
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	NM_012287	23527
